id,昵称,性别,所在地,关注数,粉丝数,微博数,创建时间,等级,会员等级,个人简介,教育经历,公司,阳光信用,类别,
6529218955,布丁茶lcsxyk,女,海外,227,145,8821,,14,0,,,,,0,
6941098054,等待坤哥2tz847,男,其他,0,1,32,2019/1/15,3,0,,,,信用较低,2,
7016592498,蔡叶子CTZ899,男,其他,0,1,10,,4,0,,,,,2,
6974679221,坤爱音乐6IL769,男,其他,0,1,24,2019/1/28,4,0,,,,信用较低,2,
7018083758,吧唧坤呀v3G157,男,其他,0,1,10,,3,0,,,,,2,
6604432657,走路带风蔡徐坤,女,其他,19,6,440,,4,0,大号:心心恰蔡,,,,2,
3177490255,你的粉儿,女,江苏,258,9074,6633,2012/12/8,42,6,那些未曾谋面的终会相遇❤️,,,信用极好,0,
6913468693,用户6913468693,男,其他,0,1,27,,4,0,,,,,2,
7011832199,神隐小坤9VJ573,男,其他,0,1,114,2019/2/27,4,0,,,,信用较低,2,
6962523391,用户6962523391,男,其他,2,1,49,,4,0,,,,,2,
6875007023,坤的小粉_kro18,男,青海 黄南,60,3,16,2018/12/5,2,0,,,造厚羡叔有限公司,信用较低,2,
6436370744,AKL06,女,广西,133,88,1328,,14,2,,,,,0,
6703341129,久_Cathie,男,浙江,61,2,266,,4,0,,,,,2,
5057011604,星溪头113,女,重庆,1572,258,1163,2014/3/5,28,4,,,,信用较好,0,
6941602451,小葵麻麻LMe668,男,其他,0,1,19,,3,0,,,,,2,
6875557192,kunkun_xee18,男,福建 南平,61,4,65,,4,0,,,,,2,
7011901940,秃头女工7e9907,男,其他,9,1,87,,4,0,,,,,0,
7010900367,用户7010900367,男,其他,0,1,29,,4,0,,,,,2,
5568407504,尹星壹,女,湖北 武汉,277,101,10716,,33,6,快乐追蔡,,,,0,
5881960410,蓝梦0802,女,四川,298,143,29694,,9,1,,,,,0,
7012476003,最棒的坤bqY811,男,其他,10,1,86,,4,0,,,,,2,
3254567742,遇见KUN的葵葵妈,女,西藏,94,172,1091,2013/4/11,14,1,小号，不要搞我嘤嘤嘤,,iikun娱乐工作室,信用较好,0,
7013554964,酷帅大奎yEt382,男,其他,0,1,16,,3,0,,,,,2,
6099859415,柯73475,男,河南 濮阳,61,1,336,,4,0,,,,,2,
6207603768,AL_蔡徐坤,女,其他,168,53,910,2017/4/9,4,3,专注蔡徐坤,,,信用较好,0,
3719968842,你的美子猫咪,女,湖南 长沙,501,222,18961,,30,6,蔡徐坤是阳光正能量的大男孩他热血执着勇于创新追求完美的人一直不忘初心坚持努力把最好的作品留给观众星光不负赶路人时光不负蔡徐坤披金成王伴坤远航,,,,0,
6940219332,坤哥最棒Ozy291,男,其他,0,1,166,2019/1/15,4,0,,,,信用较低,2,
7012417639,金毛坤王Goj758,男,其他,0,1,48,2019/2/27,4,0,,,,信用较低,2,
7012888971,坤在我心1Xz508,男,其他,0,1,64,,4,0,,,,,2,
6960323107,葵妻1Gg227,男,其他,0,1,70,2019/1/17,4,0,,,,信用较低,2,
7018735227,菜奎奎g2b775,男,其他,0,1,2,,1,0,,,,,2,
6974634630,AK女工J4z461,男,其他,0,1,61,2019/1/28,4,0,,,,信用较低,2,
6986161735,用户6986161735,男,其他,0,1,50,2019/2/5,4,0,,,,信用较低,2,
6309946423,蔡徐坤官方女友521,女,其他,170,36,527,2017/7/7,4,0,我是一名IKUN，我是IKUN我骄傲，嘻嘻，爱葵葵吖,,,信用一般,0,
7012395633,坤哥最棒kTF914,男,其他,0,1,9,,3,0,,,,,2,
7012407097,奎也可爱iJy157,男,其他,0,1,114,,4,0,,,,,2,
6300018804,不吃老鼠d猫兄,女,其他,306,169,2922,2017/7/17,19,3,法律不允许弃子 i have no time for bad vibes,,爱困娱乐经纪有限公司,信用较好,0,
7013576668,顺毛小坤Kad791,男,其他,0,1,29,,4,0,,,,,2,
7011837421,追求梦想wpt512,男,其他,0,1,65,2019/2/27,4,0,,,,信用较低,2,
6878898559,用户6878898559,男,福建 莆田,0,1,170,,4,0,,,,,2,
7011524076,发带坤Q4W909,男,其他,0,1,42,2019/2/26,3,0,,,,信用较低,2,
6975253636,大坤麻麻lLE066,男,其他,0,1,421,,4,0,,,,,2,
7013578048,广大群众Vbx911,男,其他,0,1,9,2019/2/27,3,0,,,,信用较低,2,
7012512608,菜菜麻麻fJo973,男,其他,8,1,92,,4,0,,,,,2,
6980727733,流丹枫叶6CJ332,男,其他,0,1,37,,4,0,,,,,2,
6364740181,IKUN珊珊唷,女,北京 朝阳区,426,12584,17776,2017/9/9,27,5,coral elf☝,北京电影学院,,信用较好,0,
7011819491,只为了坤Ajm773,男,其他,2,1,364,,4,0,,,,,2,
3901468525,一只咕咕·,女,广东 深圳,253,268,5093,2013/11/14,14,3,自由 快乐�,,,信用较好,0,
7027173857,w04VlH9jZjdpz815,男,其他,0,1,3,,0,0,,,,,2,
6031861640,不重小不重,男,云南,649,54,17138,,25,5,,,,,2,
6936438287,用户6936438287,男,其他,0,1,32,2019/1/14,4,0,,,,信用较低,2,
6777117363,早悟__兰因,女,江西,62,1,28,,4,0,,,,,2,
7011464087,困困的菜lvm091,男,其他,0,1,29,,4,0,,,,,2,
7003583721,小猫咪bmz622,男,其他,23,1,120,2019/2/20,4,0,弘淳罄鹄热灵枪法,,,信用较低,2,
7007329712,绵缠恻_bUr980,男,其他,1,1,750,,4,0,,,,,2,
6611387253,小jess121,男,其他,117,32,352,,12,1,,,,,0,
6940715018,放飞自我uFG210,男,其他,0,1,12,2019/1/16,2,0,,,,信用较低,2,
7011550674,迷路女孩ygg691,男,其他,0,1,35,,3,0,,,,,2,
6940219578,优秀坤哥KTK093,男,其他,0,1,167,,4,0,,,,,2,
6964727505,KUNLHG459,男,其他,0,1,197,2019/1/19,4,0,,,,信用较低,2,
6967179964,堂宸Clement,男,其他,1,1,338,,4,0,,,,,2,
6941600224,花花给坤JiT453,男,其他,0,1,16,,3,0,,,,,2,
7005554814,独有魅力ke2762,男,其他,0,1,168,,4,0,,,,,2,
7012955065,坤姐有矿vRh622,男,其他,0,1,12,2019/2/27,4,0,,,,信用较低,2,
6532376874,是媛媛不是圆圆o,女,其他,7,62,4,,9,0,我爱美女帅哥我爱美女帅哥,,,,0,
7014391718,千军万马Peg234,男,其他,0,1,131,,3,0,,,,,2,
7004713060,小西几坤NQt731,男,其他,0,1,74,,4,0,,,,,2,
7011941091,白月光坤nWl527,男,其他,0,1,270,,4,0,,,,,2,
7003080135,用户7003080135,男,其他,1,1,743,2019/2/20,4,0,,,,信用较低,2,
6582335643,把星星都摘给坤坤,女,其他,227,55,645,,9,0,ikun.学生党.,,,,0,
6763499834,Kunnnn仔,男,西藏,74,1,4,2018/10/13,4,0,,西藏藏医学院,,信用一般,0,
6856490100,用户6856490100,男,江苏 扬州,0,1,256,,4,0,,,,,2,
7011819638,战狼葵妈RBg047,男,其他,2,1,356,,4,0,,,,,2,
6774992807,用户6774992807,男,山东 东营,1,1,22,,1,0,,,,,2,
6568050684,储蓄卡里有菜叶子呀,女,海外,298,201,3472,,23,5,守护星星的人,,,,0,
7011850841,小坤花籽Ofi427,男,其他,0,1,52,,4,0,,,,,2,
6474954742,Ting_坤,女,上海,284,328,3133,2018/1/31,24,3,陪伴蔡徐坤,,,信用较好,0,
6989091427,济宽相246652,男,其他,1,1,55,2019/2/9,4,0,,,,信用较低,2,
7004704198,甜心小坤Y9r904,男,其他,0,1,159,,4,0,,,,,2,
6928930505,用户6928930505,男,其他,0,1,119,2019/1/8,4,0,,,,信用较低,2,
6968543100,小西几葵SjA737,男,其他,0,1,37,,4,0,,,,,2,
6941108958,葵妹威武36F539,男,其他,0,1,167,,4,0,,,,,2,
