id,label,fans_num,follow_num,description
6529218955,布丁茶lcsxyk,145,227,
2563367947,august_shilme,188,293,蔡徐坤超话粉丝大咖
7343042580,小葵葵有点困,4,36,给蔡困做积分的小号 �
7290404537,日常伤感患者,24,84,追星号
7249230086,·挽歌·,32,126,花花世界，静守己心
6892834054,Kunming201812,62,303,
6582087265,沦陷于蔡徐坤的IKUN,147,257,高冷的小猫咪
6242181166,啊哦额阿呼A,7,68,
5750111375,802号系列,19,222,如果你有眼睛的话，就不要用耳朵去了解他
6531540402,用户6531540402,7,107,
7328944311,苏湘1998,23,213,
5647440925,土申_lv,17,132,
6768593071,菜菜妈咪丫,17,113,
6986187403,葵味雏田,7,58,ikun宝贝快康康我‼厦门ikun快和我面基❗❗
2599705043,全世界最好的小玫瑰,189,1053,最爱小玫瑰
5573397816,喜你伴你,100,783,蔡徐坤超话粉丝大咖
6509278477,E-PAO,88,337,don't leave me alone
5309058486,蔡徐坤的wifecc,20,81,干脆果断
3563301530,CC芒果小甜饼,759,1029,ฉันรักเธอ
3952817986,静守初心的云,35,281,
6612579736,坤的比巴卜,125,502,ikun
6631780617,野蔷薇67267,170,894,
7081579538,甜浅537,25,86,爱蔡徐坤✨
6859581377,葵葵吖吖,40,174,花花世界，静守己心
6900848129,ikun倾心love,22,142,
1531592332,衰小猴,51,235,"┈━═☆wo的世界有你在，我不在孤单。为何距离让我觉
的你好遥远"
6900042802,boom00645,59,233,一个小号
6493031689,二月子卿,51,262,每天进步一点❤️
5626324702,ikun小羊1,119,969,
1088908201,金色大脸猫,122,758,
6606349558,ikun俽0802,128,790,
5318472909,就是喜欢蔡蔡,36,310,我爱吃菜菜
3269917492,坤坤的粉丝82,96,244,
6417760876,afkun-onlykun,149,380,唯坤，小号
6676468845,小玫瑰2号96726,2,39,
6677350787,小玫瑰1号15645,1,95,
6676469365,小玫瑰3号20741,1,41,
6733028770,葵葵的小玫瑰kk,42,184,
5916984426,程再良,82,379,
6574438231,开心果子烤冷面,6,72,
5835710494,潍坊灵感儿,6331,3142,潍坊灵感儿电子商务有限公司
6540560793,萌萌咪kun,1577,342,蔡徐坤超话粉丝大咖
6602608718,IKUN广大群众,102,159,
6652737792,幻化学品味,105,95,打榜抡博小号没啥内涵
6635944136,席折,111,185,轮博数据小号
5537434794,IKUN-小仙女h,82,170,没有意外
2921826733,蔡徐坤老婆100,859,1014,来到这里关注一下
6493076170,简微小清新,135,334,要陪你很久很久
6509392064,Krystal_Kun,552,466,蔡徐坤超话粉丝大咖
6525428089,葵的芒果冰和芹菜炒牛肉,407,443,一枚追星小透明
6495919094,Suri0315K,296,262,IKUN
5186237845,ikun幼儿园的老大,196,180,愿你永远世间一切美好事物
6604316539,简微落零,122,305,你是唯一
6574433636,5静守己心48229,13,50,
6574435132,样姐蒙妹,13,36,
6539668339,LotusKUN,118,229,我们的梦
6509569545,一点繁星kk,276,387,希望你一直开心自由
5319484212,简微尘霓,277,377,蔡徐坤超话粉丝大咖
6540699931,浅荨予梦,154,294,花花世界，静守己心。唯蔡徐坤
5061891767,辰妖,527614,843,淘女郎认证
6067621522,宏观对冲陈凯丰Kevin,100137,15273,知名财经博主
7388097832,用户7388097832,17,1110,
6022478547,莘辰星星葵,66,175,爱困
3012886555,_VERA---,365,191,語虛，何以言之。
7397663657,Convergence17,19,88,
7397354193,Convergence16,19,84,
7397354181,Convergence15,18,83,
7397354173,Convergence14,19,86,
7397663612,Convergence13,19,89,
7397663527,Convergence12,16,81,
7397354151,Convergence10,16,80,
7397663476,Convergence7,8,73,
7400456683,Convergence4,16,82,
7400085589,Convergence3,12,89,
7400401727,Convergence2,12,85,
7397354080,Convergence11,14,82,
7397354070,Convergence9,17,84,
7397663613,Convergence8,17,101,
7397663596,Convergence6,14,84,
7400675187,Convergence1,16,27,
7399890062,Convergence__,19,88,
6161695069,掌上明猪0802,15,53,ikun
7314034593,储蓄卡你最好看呀,15,47,
6154096899,Convergence___,220,588,passerby
6785955517,八十二星宿,42,140,清清白白算卦 认认真真追星
6936293747,荷塘月色的八月,180,486,
7229718434,AK懿歌倾境,19,122,
6036809163,全维士全奖,16,113,
7394317681,小悦忙着想琳琳,2,9,等我攒够了六便士就去找月亮
2304725804,小破熊爱熊抱ing丶,491,4739,
6190161265,缘轻舞,148,4732,如果心胸不似海，又怎能有海一样的事业。
5939828130,李菡芮LL199501,455,3968,
6878306814,用户6878306814,27,259,爱惜自己
3847621502,菜菜真可爱啊,336,1808,
7309797688,坤坤的某一天,89,243,
5591317717,左亲亲右亲亲2015,309,620,
6692807697,用户6560403364,11,1439,
2824665090,皮卡丘的逆袭,340,4818,
6633133279,ikun哗哗,27,129,花花世界，静守己❤️
6806278620,爱坤08545,247,471,陪你成长，看你成王，只要你开心快乐，加油崽
6026229965,香菜的粉丝儿,159,655,蔡蔡好香啊
7264873390,爱坤的艳子025,117,414,爱我所爱的人，做我该做的事。
6964114120,兔子包包-pink,6,134,
6798472831,跨界区块链杨_杨,138,295,
5315220766,KKKKK-池鱼厶,383,230,蔡徐坤超话粉丝大咖
6751955912,就是这么可爱唷,13,87,
6751955915,两个宝贝奎葵,10,64,
7019706465,秋辞爱蔡大爷和福西西,5,89,喜欢唱歌，为了丞坤努力   底线:蔡徐坤，范丞丞
3162669321,秋海星_645,646,666,
7207416147,C4mtN-避而远fxs_45830,25,869,
5410338761,勇敢的boy0914,197,304,蔡徐坤超话粉丝大咖
5917299641,微甜的回忆麽,48,139,
6895752083,cxk-佳,24,253,
5619143897,甜憇小葵,148,261,蔡徐坤超话粉丝大咖
5694696312,芹菜炒芮,141,196,蔡徐坤超话粉丝大咖
1939438287,庭园深深2011,135,179,做一个快乐开心的人
1729384931,kun炸,453,508,Work hard，Play hard！
6816290105,小葵健康成长,46,258,
6878732385,小乖宝001,63,191,
6590324248,福泡泡爱福蓉蓉2018,229,146,
2260115822,让你的心静下来,315,1778,“生活不一定得是完美的才能精彩。” 保持乐观的心态，别老是羡慕别人，才能享受人生!
6445945936,依问宝贝,160,414,
6028205615,我在这里等等等很久了,201,483,来自另一个星球
2624760915,Miss_小兰子,336,227,蔡徐坤超话粉丝大咖
6522674359,爱吃蛋炒饭的猫咪咕噜,372,639,花花世界 静守己心
5407002847,Sunshine糖豆豆,297,787,一直在路上的Sunshine&amp;Kun
6544908388,莫愁奎葵,161,252,蔡徐坤姐姐粉
5850300383,困困的喵啊,263,408,爱我所爱，尽其所有。
5708646983,葵葵的哥哥奎奎,84,128,努力是为了站在万人中央，成为别人的光！
7018882733,葵葵还没长大,104,499,不燃怎YOUNG�
7221073606,葵宝宝加油,84,458,kun&amp;ikun
6616933342,AlwaysSmile22390,176,316,不燃怎YOUNG!
6906607595,幸运是遇见你1221,54,167,
6140868128,不然怎Young,173,465,ikun组合成员
6490372753,小喵喵爱菜菜,111,362,
6034285888,小蔡-是我啦,109,266,没啥可说的
6736122379,素衣白纱亦倾国015,11,91,
6613584337,爱坤的菜菜2,124,466,ikun
6298366394,小小蔡包子,90,120,三观不同，互相尊重！底线蔡徐坤�
3118472937,o0熊0熊0o_534,100,4875,
6074349780,班咚buqsha,289,4925,最后我们都会发现当初我们所执着的到最后都会可笑自己的幼稚
2283584743,GyuKyu,130,4954,蓝家。曺圭贤。
5984421315,呼延凯悔,344,4817,积极者相信只有推动自己才能推动世界，只要推动自己就能推动世界。
6888481697,用户4976607188,4,785,
7293860525,釒屋藏K,79,121,
6571430934,扔飞机的小葵,55,105,IKUN
7229802938,蓝莓味的小坤,422,424,kun＆ikun
6962525136,吧唧吧唧蔡小葵呀,28,135,本命蔡徐坤
6607824425,坤-丞12523,40,243,一个喜欢热巴的普通人
7023407520,初樱源樱,206,433,葵葵的静静♡
7311446690,小杏萘菜,59,243,蔡徐坤一直都是我的光
6592857478,K_奎葵牛轧糖,165,415,狙擊野葵_LOVER＇
6972295588,蔡先生家的冰激凌,77,598,未曾谋面的终将会相遇
5233058997,嘻嘻钓叟莲娃2020,314,793,随心所欲的生活。
6977954261,春日恋坤记,14,55,初见蓝玫瑰＂
6389182279,超可可的小葵,101,20,未曾谋面的终将会相遇
6575620450,kkkun玖_,5,99,『蔡徐坤值得更好』   &lt;&lt;&lt;宝藏&gt;&gt;&gt;   &lt;&lt;&lt;金海早晚会在黑夜中爆发&gt;&gt;&gt;
6663307781,喜欢蔡徐坤的小涵,17,90,喜欢蔡徐坤&amp;NINE PETCENT
7261040296,玖捌的旺仔小坤,13,209,未曾谋面的也终将会相遇.
6546309833,82号诗玖,137,225,蔡徐坤.
5777418219,蔡徐坤太会了吧,131,155,蔡徐坤超话粉丝大咖
7293972957,蔡大奎的茹茹,64,239,蔡徐坤是我的
6673081375,乐熙KUN,216,333,蔡徐坤工作室旗下艺人IKUN女团
6180226232,颜苒沫-KUN,67,164,ᴄ̶ᴀ̶ɪ̶x̶ᴜ̶ᴋ̶ᴜ̶ɴ̶�
6186424527,fairy芒果冰,292,138,众生皆苦 唯有蔡先生是甜甜的�
5844603358,三份牛排k,107,135,KUN＆IKUN
5694072239,Deeplove-KUN_晨,129,111,未曾谋面的也终将会相遇~
6800456314,爱一爹吮,96,127,做一只快乐的猪猪
5994640926,KUN星云song,173,208,KUN and IKUN is forever.
6530343745,旺o仔牛奶Oo,31,54,甜味葵葵
6572109730,wo亲一口坤坤,139,157,蔡徐坤超话粉丝大咖
6576004766,小困的颜曦,122,129,蔡徐坤粉丝大咖.
6501137457,蔡徐坤小葵i,14,83,蔡徐坤的ikun
7196291771,喜李LEE,113,192,沉迷蔡徐坤
6049825461,喝牛奶的葵葵,62,225,蔡徐坤超话粉丝大咖
7304134345,小葵偷了个奎,14,34,Kun＆ikun
6538318633,苒苒心动蔡困,264,296,蔡徐坤是信仰�
6211955783,KUN_尤川,173,291,总会有人会为了你的开心费尽心思.
6499054935,偷葵葵回家,49,46,"あ鸢尾绽放,一瓣心香,折刃不弃,纸质柔情."
6982259166,Already802,164,180,花花世界 静守己心
7020310957,KUN-淼,87,206,追原创歌手蔡徐坤
6246043696,HUMAN08IDEAL02KUN,63,94,蔡徐坤超话粉丝大咖
6935389475,Adelaide_KUN,67,236,KUN&amp;IKUN
6096280483,蜜桃甜困_,115,161,陪蔡徐坤漫游星际.
6614850306,捕坤专家,58,100,Ikun一枚
6619225658,kun的小裤头,43,84,54南婗
7425586640,K-坤子哥,2,26,
7413180111,奎奎的蓠蓠,13,117,
6619913385,坤坤家的小脑婆,99,351,我是ikun，一生一世只爱蔡小醋 披金成王，伴坤远航 向阳花木易春，听说你爱蔡徐坤
6776341214,#NAME?,24,239,蔡徐坤-  黄明昊-  林彦俊-  NINEPERCENT
6549263945,小葵环游记-,293,308,共赴黑暗
6582199750,小葵一一ikun,273,268,
6637517151,kdclxa莱,298,439,我的小朋友漂亮可爱
6478331604,巨c小蔡_KUN,1423,526,蔡徐坤超话粉丝大咖 问答答主
6450820755,隔壁82号奶茶铺,162,332,蔡徐坤超话粉丝大咖
6348916274,是依茉,224,262,KUN&amp;IKUN
6520158906,尤九爱一爹,32,83,未曾谋面的也终会相遇
6971798816,浣熊泡泡水OoOo,35,105,���
6522449006,元气小葵cxk,67,213,学业繁忙
