微博id,用户id,内容,创建时间,点赞数,评论数,转发数,是否原创
4519419298717967,6529218955,//@蔡徐坤粉丝团官微 :#动感地带M-ONE 5G合伙人蔡徐坤# |#蔡徐坤 动感地带合伙人# 一起加入追光队伍@蔡徐坤,2020-06-24 19:12:28,0,0,0,1
4519419269341523,6529218955,//@蔡徐坤数据站 :蔡徐坤超话cxk#奔跑吧蔡徐坤# 小猫咪快来查收新鲜的@蔡徐坤 采访,2020-06-24 19:12:30,0,0,0,1
4519418426975294,6529218955,蔡徐坤游泳池超话 #蔡徐坤 动感地带合伙人#  #奔跑吧蔡徐坤#  今日积分求捞@一点繁星kk ,2020-06-24 19:12:30,0,20,0,0
4519417885567419,6529218955,//@蔡徐坤粉丝团官微 :#动感地带M-ONE 5G合伙人蔡徐坤# |#蔡徐坤 动感地带合伙人# 一起加入追光队伍@蔡徐坤,2020-06-24 19:12:30,0,0,0,1
4519417691655195,6529218955,//@蔡徐坤网宣组 :蔡徐坤超话| #奔跑吧蔡徐坤# 感谢@优酷 分享。金唱片销量争夺战，弹射椅，撕名牌大战，@蔡徐坤 会有怎么样的精彩表现呢，让我们一起期待本周五的奔跑吧！,2020-06-24 19:12:30,0,0,0,1
4519049649957938,6529218955,蔡徐坤游泳池超话 #蔡徐坤 动感地带合伙人#  #奔跑吧蔡徐坤#  滴滴积分求捞@一点繁星kk ,2020-06-23,0,20,0,0
4519049515809654,6529218955,//@蔡徐坤粉丝团官微 :#蔡徐坤 动感地带合伙人# 炙热燃烧的青春火焰，直接热烈的情绪动线。焕然一新，惊喜无限。直面梦想与热爱，与动感地带5G合伙人@蔡徐坤 一起相约动感地带，Fun肆热爱。,2020-06-23,0,0,0,1
4519049487333919,6529218955,#蔡徐坤 动感地带合伙人#,2020-06-23,0,0,0,1
4519049437339166,6529218955,//@蔡徐坤粉丝团官微 :创新的力量，坚守的信念，让动感地带M-Zone始终与年轻人同行。让我们和动感地带5G合伙人@蔡徐坤 一起，在彼此追梦的路上，开启5G的速度，我的地带，Fun肆热爱。,2020-06-23,0,0,0,1
4518734637578470,6529218955,//@蔡徐坤全球粉丝后援会:#蔡徐坤 动感地带5G合伙人#蔡徐坤超话 从本真出发，承载酷炫梦想；动感无限，开启青春能量。和#动感地带M-ONE 5G合伙人蔡徐坤#一起FUN肆热爱，续写5G新时代记忆！@蔡徐坤,2020-06-22,0,0,0,1
4519008311317872,2563367947,一起5G冲浪吧~,2020-06-23,0,0,0,1
4517950110170747,2563367947,太帅了吧,2020-06-20,0,0,0,1
4516401358070576,2563367947,想你~,2020-06-16,0,0,0,1
4514745716211475,2563367947,宝贝~,2020-06-11,0,0,0,1
4513261091033751,2563367947,我刚使用会员特权送给了@蔡徐坤 3朵鲜花，希望陪你从开始到未来的每一个高光时刻，我们一起走花路吧！蔡徐坤已收到6112109朵花 ,2020-06-07,0,0,0,0
4513251810094726,2563367947,[安慕希品牌全球代言人蔡徐坤]☝️[珀莱雅代言人蔡徐坤]☝️[高丝SUNCUT代言人蔡徐坤]☝️[陌森眼镜代言人蔡徐坤]☝[蔡徐坤新歌重生]☝[蔡徐坤葵计划爱心基金会]☝[蔡徐坤新歌YOUNG]☝️[蔡徐坤新歌蒙着眼]☝️[蔡徐坤 Prada代言人]☝️[蔡徐坤5G视频彩铃宣推官] ☝️[蔡徐坤中牙友好大使]☝️,2020-06-07,0,0,0,1
4512909571004808,2563367947,［纪梵希彩妆代言人蔡徐坤]☝️[安慕希品牌全球代言人蔡徐坤]☝[蔡徐坤代言珀莱雅]☝ [高丝SUNCUT代言人蔡徐坤]☝ [陌森眼镜代言人蔡徐坤]☝[蔡徐坤新歌重生]☝[蔡徐坤葵计划爱心基金会]☝[蔡徐坤新歌YOUNG]☝️[蔡徐坤新歌蒙着眼]☝️[蔡徐坤 Prada代言人]☝️[蔡徐坤5G视频彩铃宣推官],2020-06-06,0,0,0,1
4512837881913133,2563367947,,2020-06-06,0,0,0,1
4507489875498919,2563367947,你好帅啊，猜不出啦,2020-05-22,0,0,0,1
4506677964231516,2563367947,啊啊啊啊，情人节快乐,2020-05-20,0,0,0,1
4519369302508047,7343042580,蔡徐坤游泳池超话#奔跑吧蔡徐坤# 🥶#蔡徐坤 动感地带合伙人# 蔡徐坤 cxk @莘辰星星葵 大号 从此，一个人的眼眸里落进了我的梦乡里，再闪耀的星星也抵不过他眼里的整条星河。@蔡徐坤 ,2020-06-24 16:12:40,0,20,0,0
4519049859898348,7343042580,蔡徐坤游泳池超话#奔跑吧蔡徐坤# 🥶#蔡徐坤 动感地带合伙人# 蔡徐坤 cxk @莘辰星星葵 大号 从此，一个人的眼眸里落进了我的梦乡里，再闪耀的星星也抵不过他眼里的整条星河。@蔡徐坤 ,2020-06-23,0,21,0,0
4518682720541180,7343042580,蔡徐坤游泳池超话#奔跑吧蔡徐坤# 🥶#蔡徐坤 动感地带合伙人# 蔡徐坤 cxk @莘辰星星葵 大号 从此，一个人的眼眸里落进了我的梦乡里，再闪耀的星星也抵不过他眼里的整条星河。@蔡徐坤 ,2020-06-22,0,22,0,0
4518303509560768,7343042580,蔡徐坤游泳池超话#奔跑吧蔡徐坤# 🥰#纪梵希彩妆代言人蔡徐坤# 蔡徐坤 cxk @莘辰星星葵 大号 情人—蔡徐坤世间予我千万种满心欢喜。沿途逐枝怒放全部遗漏都不要紧。得你一枝配我胸襟就好。@蔡徐坤 ,2020-06-21,0,20,0,0
4518120624355241,7343042580,转发微博,2020-06-21,0,0,0,1
4517993177014815,7343042580,蔡徐坤游泳池超话#奔跑吧蔡徐坤# 🥰#纪梵希彩妆代言人蔡徐坤# 蔡徐坤 cxk @莘辰星星葵 大号 请你一定要对号入座，我说的所有星光月亮，清泉小溪，蘸着糖的奶油和蜂蜜，这世间所有的美好事物，都只是为了形容你。@蔡徐坤 ,2020-06-20,0,20,0,0
4517596139687070,7343042580,蔡徐坤游泳池超话#奔跑吧蔡徐坤# 🤭#纪梵希彩妆代言人蔡徐坤# 蔡徐坤 cxk @莘辰星星葵 大号情人—蔡徐坤 世间予我千万种满心欢喜。沿途逐枝怒放全部遗漏都不要紧。得你一枝配我胸襟就好。@蔡徐坤 ,2020-06-19,0,20,0,0
4517256421485088,7343042580,蔡徐坤游泳池超话#奔跑吧蔡徐坤# 🥰#纪梵希彩妆代言人蔡徐坤# 蔡徐坤 cxk @莘辰星星葵 大号 世间予我千万种满心欢喜。沿途逐枝怒放全部遗漏都不要紧。得你一枝配我胸襟就好。@蔡徐坤 ,2020-06-18,0,21,0,0
4516890896691974,7343042580,蔡徐坤游泳池超话#奔跑吧蔡徐坤# 🥰#纪梵希彩妆代言人蔡徐坤# 蔡徐坤 cxk @莘辰星星葵 大号 世间予我千万种满心欢喜。沿途逐枝怒放全部遗漏都不要紧。得你一枝配我胸襟就好。@蔡徐坤 ,2020-06-17,0,24,0,0
4516539636632115,7343042580,蔡徐坤游泳池超话#奔跑吧蔡徐坤# 🥰#纪梵希彩妆代言人蔡徐坤# 蔡徐坤 cxk @莘辰星星葵 大号情人—蔡徐坤 世间予我千万种满心欢喜。沿途逐枝怒放全部遗漏都不要紧。得你一枝配我胸襟就好。@蔡徐坤 ,2020-06-16,0,20,0,0
4498664493589557,7290404537,蔡徐坤游泳池超话 4-28自捞#奔跑吧蔡徐坤# ,2020-04-28,0,2,0,0
4497730665825320,7290404537,蔡徐坤游泳池超话 4/25#蔡徐坤 青你2制作人代表# ,2020-04-25,0,12,0,0
